,,, I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , TOTAL , TOTAL , TOTAL , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , TOTAL , TOTAL , TOTAL ,Total Alien Relative Petitions,Total Alien Relative Petitions,Total Alien Relative Petitions
,,, First Quarter , First Quarter , First Quarter , Second Quarter , Second Quarter , Second Quarter , Third Quarter , Third Quarter , Third Quarter , Fourth Quarter , Fourth Quarter , Fourth Quarter , TOTAL , TOTAL , TOTAL , First Quarter , First Quarter , First Quarter , Second Quarter , Second Quarter , Second Quarter , Third Quarter , Third Quarter , Third Quarter , Fourth Quarter , Fourth Quarter , Fourth Quarter , TOTAL , TOTAL , TOTAL ,Total Alien Relative Petitions,Total Alien Relative Petitions,Total Alien Relative Petitions
Fiscal Year,Office,Description, Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Completions , Pending , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Completions , Pending , Receipts , Completions , Pending 
2011,SAC,SACRAMENTO CA ,478,557,48,381,484,59,499,500,48,450,521,44,"1,808","2,261",613,5,418,240,1,94,50,1,27,15, - ,20,7,7,871,14,"1,815","3,132",627
2011,SAJ,SAN JUAN PR ,149,148,18,100,173,10,150,138,19,118,182,56,517,744,189,1,38, - , - ,6,1,3, - ,2,2, - ,3,6,50,145,523,794,334
2011,SBD,SAN BERNADINO CA,"1,010",851,64,816,891,64,998,858,64,817,"1,067",73,"3,641","3,932","1,283",3,"1,368",701,8,97,17,3,23,5,2,24,7,16,"2,242",16,"3,657","6,174","1,299"
2011,SEA,SEATTLE WA ,721,641,34,639,655,40,674,540,35,717,561,51,"2,751","2,557","1,097",3,18,5, - ,23, - , - ,4,2, - ,16,2,3,70,6,"2,754","2,627","1,103"
2011,SFR,SAN FRAN. CA ,"1,358","1,114",112,"1,208","1,412",108,"1,354","1,365",116,"1,290","1,130",108,"5,210","5,465","1,912",2,142,51, - ,92,8,9,38,11,1,48,6,12,396,57,"5,222","5,861","1,969"
2011,SFV,SAN FERNANDO VALLEY CA,"1,193",760,100,862,820,89,"1,084","1,176",99,"1,039","1,030",132,"4,178","4,206","1,816",7,372,88,1,208,103,2,25,9,2,11,1,12,817,97,"4,190","5,023","1,913"
2011,SLC,SALT LAKE CITY UT ,437,447,21,361,519,35,485,442,30,421,356,44,"1,704","1,894",675, - ,53,29,3,10,5, - ,6, - ,2,4,2,5,109,4,"1,709","2,003",679
2011,SNA,SAN ANTONIO TX ,"1,096","1,100",48,863,"1,288",55,"1,186","1,286",85,"1,191","1,362",93,"4,336","5,317","1,241",7,243,64,2,12,12,1,42,3,2,23,12,12,411,429,"4,348","5,728","1,670"
2011,SND,SAN DIEGO CA ,397,304,20,361,397,32,408,440,17,405,388,17,"1,571","1,615",462,3,694,156, - ,30,28,2,12,4, - ,10,17,5,951,37,"1,576","2,566",499
2011,SNJ,SAN JOSE CA ,735,680,26,630,838,18,851,796,25,800,828,34,"3,016","3,245",992,1,286,169,2,193,51,2,50,5,3,33,9,8,796,15,"3,024","4,041","1,007"
2011,SPM,ST PAUL MN ,495,445,56,387,545,64,465,511,56,462,451,62,"1,809","2,190",764, - ,8,7,2,4,3, - ,8,1, - ,7, - ,2,38,33,"1,811","2,228",797
2011,SPO,SPOKANE WA ,53,46,4,37,39,5,51,45,6,42,60,6,183,211,60, - ,28,16, - ,18,6, - ,20,7, - ,10,2, - ,107,10,183,318,70
2011,STA,ST ALBANS VT ,40,40,8,33,31,6,38,73,36,35,49,18,146,261,62, - ,21,14, - ,8,1, - ,18,4, - ,52,14, - ,132,34,146,393,96
2011,STL,ST LOUIS MO ,163,115,18,150,194,25,150,167,13,177,190,25,640,747,354, - , - , - , - ,2,1, - , - , - , - ,1,1, - ,5,2,640,752,356
2011,TAM,TAMPA FL ,740,601,102,646,822,113,781,907,142,724,597,164,"2,891","3,448","1,092",5,122,35,1,34,8,3,17,4,4,10,3,13,233,7,"2,904","3,681","1,099"
2011,TUC,TUCSON AZ/SUB ,420,368,10,309,476,17,458,301,13,433,392,12,"1,620","1,589",614,1,127,93, - ,34,43, - ,13,10, - ,4,4,1,328,17,"1,621","1,917",631
2011,WAS,WASHINGTON DC ,"1,077",248,98,911,480,45,"1,072",607,93,"1,054",797,155,"4,114","2,523","4,591",1,42,5,1,23, - ,1,11, - ,1,22,1,4,104,104,"4,118","2,627","4,695"
2011,WIC,WICHITA KS,138,117,11,91,147,6,136,90,6,116,156,9,481,542,212, - ,5,1,2,1,2, - ,1, - ,1,1, - ,3,11,9,484,553,221
2011,WPB,WEST PALM BEACH FL,600,523,60,488,622,143,623,746,199,565,599,217,"2,276","3,109",804,2,34,17,2,57,14,2,23,24,3,16,14,9,199,58,"2,285","3,308",862
2011,YAK,YAKIMA WA,80,67,7,59,91,7,68,125,6,58,87,24,265,414,87, - ,50,31, - ,4,2, - ,24,2, - ,5,1, - ,119,4,265,533,91
2011 Totals,,,"53,825","41,339","4,519","42,411","48,821","4,742","54,731","51,574","5,568","51,512","56,627","7,998","202,479","221,188","91,879",241,"15,139","6,050",128,"4,402","2,044",141,"1,932",653,127,"1,591",584,637,"32,395","6,253","203,116","253,583","98,132"
